Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,226131,483444,240569,62855,549601,1562600
cube.jpg,1024x1792,1482795,2531602,1901582,415744,2648373,8980096
build.jpg,1312x1920,1881436,3519025,2339896,396322,3943956,12080635
dog.jpg,480x640,222637,546605,217433,51781,367201,1405657
street.jpg,1920x1280,1733254,3263809,2197869,391214,5941834,13527980
car.jpg,1280x720,618364,1272873,597992,100043,733405,3322677
lake.jpg,1280x848,820569,1509988,765928,110856,1987012,5194353
platinum.jpg,2016x2864,4378011,7972183,6391147,1256191,7854853,27852385
cat.jpg,1280x848,774541,1543524,783583,116516,1642134,4860298
car2.jpg,2560x1440,2532307,4894066,3237242,721717,6053133,17438465
female2.jpg,3840x2160,7140445,11218144,9512337,1902677,11979496,41753099
bakery.jpg,3984x2880,12831887,15728955,13363026,2708949,14830310,59463127
earth.jpg,7680x4320,35771198,46531062,38513891,7691980,45322358,173830489
mountain.jpg,1792x1024,1234172,2413921,1484306,264806,2825542,8222747
female.jpg,1920x1072,1411639,2715424,1667044,295732,2324373,8414212
cupoi.jpg,5952x3648,24125704,31278452,25670282,5221403,41025766,127321607
