Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,2172593,2117012,1413262,1216921,1821853,8741641
cube.jpg,1024x1792,5291276,5528009,2659371,1898927,3869390,19246973
build.jpg,1312x1920,6262969,5864204,2825292,1952814,4418401,21323680
dog.jpg,480x640,1962795,2171971,1362540,1218786,1378238,8094330
street.jpg,1920x1280,6326603,5940505,2742157,1906089,6862719,23778073
car.jpg,1280x720,3417489,3373998,1822082,1556688,1884749,12055006
lake.jpg,1280x848,3804353,3541069,1817384,1568411,2703777,13434994
platinum.jpg,2016x2864,12030355,11265899,7109530,2451836,5721790,38579410
cat.jpg,1280x848,3997176,3331700,1876385,1631955,2596494,13433710
car2.jpg,2560x1440,8238695,7544829,4249100,2076002,5810035,27918661
female2.jpg,3840x2160,16765511,15775900,10310859,2842833,9440579,55135682
bakery.jpg,3984x2880,23191148,23546439,14027808,3694499,8919771,73379665
earth.jpg,7680x4320,69678093,63068845,38341884,8864069,28055444,208008335
mountain.jpg,1792x1024,5363310,5233699,2534474,1784261,3729115,18644859
female.jpg,1920x1072,6069525,5238767,2547679,1742794,2667689,18266454
cupoi.jpg,5952x3648,44740727,44605458,26894251,6608079,28726050,151574565
