Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,242336,546557,256196,61429,364467,1470985
cube.jpg,1024x1792,1328034,2947078,2691583,369331,2591457,9927483
build.jpg,1312x1920,1753119,3758103,2416443,424315,3759608,12111588
dog.jpg,480x640,257231,601378,236597,54200,492590,1641996
street.jpg,1920x1280,1832928,3480538,2292907,413834,6923886,14944093
car.jpg,1280x720,620521,1385045,625971,105478,754545,3491560
lake.jpg,1280x848,814631,1643488,841084,146170,2398478,5843851
platinum.jpg,2016x2864,4445387,8112299,6280633,1259935,7458857,27557111
cat.jpg,1280x848,768661,1628199,761269,118054,1647436,4923619
car2.jpg,2560x1440,2867094,5336760,3280509,645902,5769002,17899267
female2.jpg,3840x2160,7552950,12866239,9243892,1816416,11285593,42765090
bakery.jpg,3984x2880,12216129,16625926,12219655,2564982,14339469,57966161
earth.jpg,7680x4320,35504106,49530469,37727455,7206002,44011603,173979635
mountain.jpg,1792x1024,1290042,2674710,1600763,350260,2744230,8660005
female.jpg,1920x1072,1435837,2875918,1613367,284065,2240031,8449218
cupoi.jpg,5952x3648,24212164,31798792,24805342,5024927,38823126,124664351
