Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,12866302
cube.jpg,1024x1792,79355479
build.jpg,1312x1920,108538278
dog.jpg,480x640,12636061
street.jpg,1920x1280,103484151
car.jpg,1280x720,42414497
lake.jpg,1280x848,47854716
platinum.jpg,2016x2864,265312645
cat.jpg,1280x848,56312618
car2.jpg,2560x1440,166754095
female2.jpg,3840x2160,380794733
bakery.jpg,3984x2880,540659968
earth.jpg,7680x4320,1757924163
mountain.jpg,1792x1024,82618807
female.jpg,1920x1072,92108589
cupoi.jpg,5952x3648,1098517523
