Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,9061668
cube.jpg,1024x1792,54713599
build.jpg,1312x1920,75666696
dog.jpg,480x640,9119396
street.jpg,1920x1280,73341394
car.jpg,1280x720,27437770
lake.jpg,1280x848,32288365
platinum.jpg,2016x2864,173422145
cat.jpg,1280x848,32409751
car2.jpg,2560x1440,111078427
female2.jpg,3840x2160,251021947
bakery.jpg,3984x2880,352728837
earth.jpg,7680x4320,1015786185
mountain.jpg,1792x1024,54650804
female.jpg,1920x1072,61186529
cupoi.jpg,5952x3648,666631304
