Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,13411750
cube.jpg,1024x1792,18445487
build.jpg,1312x1920,18968592
dog.jpg,480x640,10461900
street.jpg,1920x1280,20054647
car.jpg,1280x720,15426756
lake.jpg,1280x848,15152688
platinum.jpg,2016x2864,26109784
cat.jpg,1280x848,14781878
car2.jpg,2560x1440,21057248
female2.jpg,3840x2160,34633861
bakery.jpg,3984x2880,45598595
earth.jpg,7680x4320,91371407
mountain.jpg,1792x1024,16846442
female.jpg,1920x1072,16359583
cupoi.jpg,5952x3648,67115016
