Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,12873391
cube.jpg,1024x1792,17150489
build.jpg,1312x1920,20086307
dog.jpg,480x640,13890611
street.jpg,1920x1280,20622636
car.jpg,1280x720,15601043
lake.jpg,1280x848,15786775
platinum.jpg,2016x2864,31067966
cat.jpg,1280x848,18895830
car2.jpg,2560x1440,32780308
female2.jpg,3840x2160,38908930
bakery.jpg,3984x2880,54328675
earth.jpg,7680x4320,149964093
mountain.jpg,1792x1024,18851204
female.jpg,1920x1072,18732705
cupoi.jpg,5952x3648,114505346
