Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,615637
cube.jpg,1024x1792,2918772
build.jpg,1326x1920,3836745
dog.jpg,482x640,499168
street.jpg,1920x1280,3970305
car.jpg,1280x720,1610076
lake.jpg,1280x855,1907959
platinum.jpg,2026x2866,8344073
cat.jpg,1280x853,1740147
car2.jpg,2560x1440,5268709
female2.jpg,3840x2160,11916828
bakery.jpg,1996x1447,4209810
earth.jpg,7680x4320,48142123
mountain.jpg,1792x1024,2844803
female.jpg,1920x1080,3196234
cupoi.jpg,5965x3648,31554103
