Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,553690
cube.jpg,1024x1792,3172546
build.jpg,1326x1920,4254207
dog.jpg,482x640,572397
street.jpg,1920x1280,4364061
car.jpg,1280x720,1915137
lake.jpg,1280x855,2200480
platinum.jpg,2026x2866,9975732
cat.jpg,1280x853,2130283
car2.jpg,2560x1440,6327245
female2.jpg,3840x2160,14284784
bakery.jpg,1996x1447,4848189
earth.jpg,7680x4320,59568439
mountain.jpg,1792x1024,3302328
female.jpg,1920x1080,3727719
cupoi.jpg,5965x3648,38911742
