Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,9285469
cube.jpg,1024x1792,2828132
build.jpg,1326x1920,3845628
dog.jpg,482x640,1745211
street.jpg,1920x1280,4062577
car.jpg,1280x720,1587803
lake.jpg,1280x855,1640633
platinum.jpg,2026x2866,8007683
cat.jpg,1280x853,1730100
car2.jpg,2560x1440,6187290
female2.jpg,3840x2160,11343134
bakery.jpg,1996x1447,4228103
earth.jpg,7680x4320,47031003
mountain.jpg,1792x1024,2858051
female.jpg,1920x1080,3019100
cupoi.jpg,5965x3648,30591514
