Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,1867638
cube.jpg,1024x1792,11420076
build.jpg,1326x1920,15786005
dog.jpg,482x640,1878637
street.jpg,1920x1280,15281739
car.jpg,1280x720,5802300
lake.jpg,1280x855,6738915
platinum.jpg,2026x2866,35906478
cat.jpg,1280x853,6732047
car2.jpg,2560x1440,22961885
female2.jpg,3840x2160,51521532
bakery.jpg,1996x1447,17685363
earth.jpg,7680x4320,204002020
mountain.jpg,1792x1024,11280183
female.jpg,1920x1080,12728048
cupoi.jpg,5965x3648,133542370
