Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,534589
cube.jpg,1024x1792,2972157
build.jpg,1326x1920,3956137
dog.jpg,482x640,497947
street.jpg,1920x1280,3890009
car.jpg,1280x720,1588655
lake.jpg,1280x855,2128098
platinum.jpg,2026x2866,9236543
cat.jpg,1280x853,1824142
car2.jpg,2560x1440,6008555
female2.jpg,3840x2160,13273711
bakery.jpg,1996x1447,4658000
earth.jpg,7680x4320,56699523
mountain.jpg,1792x1024,3213640
female.jpg,1920x1080,3608404
cupoi.jpg,5965x3648,36109067
