Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,909749
cube.jpg,1024x1792,4620058
build.jpg,1326x1920,6273503
dog.jpg,482x640,742536
street.jpg,1920x1280,6043010
car.jpg,1280x720,2370753
lake.jpg,1280x855,2717618
platinum.jpg,2026x2866,14191709
cat.jpg,1280x853,2749458
car2.jpg,2560x1440,9118383
female2.jpg,3840x2160,20525461
bakery.jpg,1996x1447,7020818
earth.jpg,7680x4320,84046320
mountain.jpg,1792x1024,4539552
female.jpg,1920x1080,5165482
cupoi.jpg,5965x3648,53380764
