Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,766788
cube.jpg,1024x1792,4170607
build.jpg,1326x1920,4962175
dog.jpg,482x640,530817
street.jpg,1920x1280,4122540
car.jpg,1280x720,1698973
lake.jpg,1280x855,2750581
platinum.jpg,2026x2866,14103249
cat.jpg,1280x853,2184613
car2.jpg,2560x1440,6044167
female2.jpg,3840x2160,14285905
bakery.jpg,1996x1447,6111315
earth.jpg,7680x4320,54132484
mountain.jpg,1792x1024,3896353
female.jpg,1920x1080,4906385
cupoi.jpg,5965x3648,51108199
