# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'branch-instructions'
# Event count (approx.): 4637350059
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  .......  ............................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.18%  test     [kernel.kallsyms]             [k] rmqueue_bulk
     0.17%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.17%  test     [kernel.kallsyms]             [k] __mod_memcg_lruvec_state
     0.16%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.16%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.16%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.16%  test     [kernel.kallsyms]             [k] blk_cgroup_congested
     0.16%  test     [kernel.kallsyms]             [k] lock_vma_under_rcu
     0.15%  test     [kernel.kallsyms]             [k] __next_zones_zonelist
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
     0.14%  test     libjpeg.so.8.2.2              [.] 0x00000000000271cd
     0.14%  test     [kernel.kallsyms]             [k] get_page_from_freelist
     0.14%  test     [kernel.kallsyms]             [k] folio_add_lru
     0.14%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.14%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.14%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d617
     0.14%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer@plt
     0.14%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6af
     0.13%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.13%  test     [kernel.kallsyms]             [k] mem_cgroup_css_rstat_flush
     0.13%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.13%  test     [kernel.kallsyms]             [k] __mod_zone_page_state
     0.13%  test     libjpeg.so.8.2.2              [.] 0x00000000000271eb
     0.12%  test     libjpeg.so.8.2.2              [.] 0x0000000000027952
     0.12%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.12%  test     [kernel.kallsyms]             [k] __mod_node_page_state
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d79d
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d53c
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.12%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.11%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000037320
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5fb
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000004be44
