# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 41K of event 'branch-instructions'
# Event count (approx.): 5060828101
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................
#
     0.17%  test     [kernel.kallsyms]             [k] up_read
     0.17%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.17%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.17%  test     [kernel.kallsyms]             [k] rmqueue_bulk
     0.17%  test     [kernel.kallsyms]             [k] try_charge_memcg
     0.16%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.16%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000003d550
     0.16%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.15%  test     [kernel.kallsyms]             [k] down_read_trylock
     0.15%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.15%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.14%  test     [kernel.kallsyms]             [k] __free_one_page
     0.14%  test     [kernel.kallsyms]             [k] mas_walk
     0.14%  test     test                          [.] std::vector<int, std::allocator<int> >::push_back(int const&)
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d540
     0.14%  test     [kernel.kallsyms]             [k] uncharge_folio
     0.14%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d57d
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000002724c
     0.13%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.13%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.12%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer@plt
     0.12%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.12%  test     [kernel.kallsyms]             [k] folio_batch_move_lru
     0.12%  test     [kernel.kallsyms]             [k] free_unref_page_list
     0.12%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5de
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6af
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5fb
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5bf
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000004be69
     0.11%  test     libjpeg.so.8.2.2              [.] 0x00000000000271cd
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d53c
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000027952
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d59c
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000037320
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6b7
     0.11%  test     [kernel.kallsyms]             [k] free_swap_cache
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.11%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004be44
     0.10%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d62
     0.10%  test     libc.so.6                     [.] __memmove_evex_unaligned_erms
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.10%  test     [kernel.kallsyms]             [k] __mem_cgroup_charge
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b3
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ec
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004be83
     0.09%  test     [kernel.kallsyms]             [k] vm_normal_page
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf0f
     0.09%  test     [kernel.kallsyms]             [k] __mod_lruvec_page_state
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a5
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d78b
     0.08%  test     [kernel.kallsyms]             [k] __irqentry_text_end
     0.08%  test     libjpeg.so.8.2.2              [.] 0x00000000000271fa
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004c711
     0.08%  test     [kernel.kallsyms]             [k] do_user_addr_fault
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8b
     0.08%  test     test                          [.] decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d617
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004c70d
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d79d
     0.07%  test     [kernel.kallsyms]             [k] sync_regs
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d6e
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a9
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004be87
     0.07%  test     [kernel.kallsyms]             [k] memcg_slab_post_alloc_hook
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.07%  test     test                          [.] void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d59
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d544
     0.07%  test     [kernel.kallsyms]             [k] __folio_alloc
     0.07%  test     [kernel.kallsyms]             [k] post_alloc_hook
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7c2
     0.06%  test     test                          [.] std::vector<int, std::allocator<int> >::size() const
     0.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000271a0
     0.06%  test     [kernel.kallsyms]             [k] mem_cgroup_css_rstat_flush
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000015561
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000006119
     0.06%  test     [kernel.kallsyms]             [k] kmem_cache_alloc
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d62f
     0.06%  test     [kernel.kallsyms]             [k] __mod_lruvec_state
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6a5
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000002797f
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027265
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000002785c
     0.06%  test     [kernel.kallsyms]             [k] access_error
     0.06%  test     [kernel.kallsyms]             [k] policy_node
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d64b
     0.05%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c8
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8f
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004beff
     0.05%  test     libm.so.6                     [.] __atan2f_finite@GLIBC_2.15
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027229
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf4
     0.05%  test     libjpeg.so.8.2.2              [.] 0x00000000000156ae
     0.05%  test     [kernel.kallsyms]             [k] pud_val
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c700
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027962
     0.05%  test     [kernel.kallsyms]             [k] _compound_head
     0.05%  test     [kernel.kallsyms]             [k] ext4_fill_raw_inode
