# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'branch-instructions'
# Event count (approx.): 6323630038
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                             
# ........  .......  ............................  ...................................................................................................................................................................................................................................................................................................................
#
    37.34%  test     test                          [.] PThread::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(void*)#1}::operator()(void*) const
    12.10%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
     8.62%  test     test                          [.] PThread::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda(void*)#1}::operator()(void*) const
     2.60%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     2.55%  test     test                          [.] PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::ThreadData*)#1}::operator()(PThread::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::ThreadData*) const
     1.99%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     1.78%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     1.71%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     1.58%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     0.94%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     0.74%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.69%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.64%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.60%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.59%  test     [kernel.kallsyms]             [k] memset_orig
     0.44%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.43%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.42%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a2
     0.42%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.38%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.29%  test     [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.27%  test     libjpeg.so.8.2.2              [.] 0x00000000000271db
     0.26%  test     [kernel.kallsyms]             [k] mtree_range_walk
     0.23%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.22%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d0
     0.22%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.21%  test     [kernel.kallsyms]             [k] release_pages
