# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'branch-instructions'
# Event count (approx.): 4978103875
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                              
# ........  .......  ..........................  ....................................................................................................................................................................................................................................................................
#
     0.18%  test     [kernel.kallsyms]           [k] folio_batch_move_lru
     0.18%  test     libopencv_imgproc.so.4.9.0  [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     0.17%  test     [kernel.kallsyms]           [k] rmqueue_bulk
     0.17%  test     [kernel.kallsyms]           [k] mas_walk
     0.16%  test     test                        [.] std::vector<int, std::allocator<int> >::push_back(int const&)
     0.16%  test     libjpeg.so.8.2.2            [.] 0x000000000003d544
     0.16%  test     [kernel.kallsyms]           [k] uncharge_folio
     0.16%  test     libjpeg.so.8.2.2            [.] 0x000000000004be7f
     0.16%  test     [kernel.kallsyms]           [k] _raw_spin_trylock
     0.15%  test     libjpeg.so.8.2.2            [.] 0x000000000001558b
     0.15%  test     [kernel.kallsyms]           [k] lru_add_fn
     0.15%  test     [kernel.kallsyms]           [k] __mod_node_page_state
     0.15%  test     [kernel.kallsyms]           [k] folio_add_lru
     0.15%  test     libjpeg.so.8.2.2            [.] 0x000000000003d550
     0.15%  test     [kernel.kallsyms]           [k] count_memcg_events.constprop.0
     0.14%  test     test                        [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.14%  test     libjpeg.so.8.2.2            [.] 0x000000000003d5de
     0.14%  test     [kernel.kallsyms]           [k] do_anonymous_page
     0.14%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d69
     0.14%  test     test                        [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.14%  test     libjpeg.so.8.2.2            [.] 0x000000000003d617
     0.14%  test     libjpeg.so.8.2.2            [.] 0x000000000004c737
     0.14%  test     [kernel.kallsyms]           [k] __mod_lruvec_page_state
     0.14%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6b7
     0.13%  test     [kernel.kallsyms]           [k] handle_pte_fault
     0.13%  test     [kernel.kallsyms]           [k] pte_offset_map_nolock
     0.13%  test     libjpeg.so.8.2.2            [.] 0x00000000000271eb
     0.13%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6af
     0.12%  test     [kernel.kallsyms]           [k] get_mem_cgroup_from_mm
     0.12%  test     libc.so.6                   [.] __memmove_evex_unaligned_erms
     0.12%  test     libjpeg.so.8.2.2            [.] 0x000000000004c70d
     0.12%  test     [kernel.kallsyms]           [k] free_unref_page_list
     0.11%  test     libjpeg.so.8.2.2            [.] 0x00000000000271cd
     0.11%  test     libjpeg.so.8.2.2            [.] 0x000000000004bee9
     0.11%  test     libjpeg.so.8.2.2            [.] 0x000000000003d79d
     0.11%  test     libjpeg.so.8.2.2            [.] 0x000000000002724c
     0.11%  test     libjpeg.so.8.2.2            [.] 0x000000000004beb7
     0.11%  test     libjpeg.so.8.2.2            [.] 0x00000000000271c8
     0.10%  test     [kernel.kallsyms]           [k] try_charge_memcg
     0.10%  test     libjpeg.so.8.2.2            [.] 0x00000000000271f5
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000004c715
     0.10%  test     libjpeg.so.8.2.2            [.] 0x0000000000037320
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000004be69
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000003d5fb
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000003d59c
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000003d5bf
     0.10%  test     libjpeg.so.8.2.2            [.] 0x000000000003d57d
     0.10%  test     libjpeg.so.8.2.2            [.] jpeg_fill_bit_buffer@plt
     0.09%  test     [kernel.kallsyms]           [k] __pte_offset_map_lock
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7b3
     0.09%  test     libjpeg.so.8.2.2            [.] 0x0000000000027229
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000003d78b
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000003d8ba
     0.09%  test     [kernel.kallsyms]           [k] post_alloc_hook
     0.09%  test     libjpeg.so.8.2.2            [.] 0x000000000003d571
     0.09%  test     libopencv_imgproc.so.4.9.0  [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7c2
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000004be75
     0.08%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d59
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000003d53c
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000004c719
     0.08%  test     libjpeg.so.8.2.2            [.] 0x0000000000027952
     0.08%  test     libjpeg.so.8.2.2            [.] 0x000000000004becd
     0.08%  test     [kernel.kallsyms]           [k] __raw_spin_lock_irqsave
     0.08%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d6e
     0.08%  test     [kernel.kallsyms]           [k] free_swap_cache
     0.08%  test     [kernel.kallsyms]           [k] do_user_addr_fault
     0.08%  test     [kernel.kallsyms]           [k] free_unref_page_commit
     0.08%  test     [kernel.kallsyms]           [k] sync_regs
     0.07%  test     libjpeg.so.8.2.2            [.] 0x0000000000015561
     0.07%  test     [kernel.kallsyms]           [k] __mem_cgroup_charge
     0.07%  test     [kernel.kallsyms]           [k] pmd_val
     0.07%  test     libjpeg.so.8.2.2            [.] 0x00000000000271a0
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7db
     0.07%  test     libjpeg.so.8.2.2            [.] 0x0000000000006119
     0.07%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a46
