# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'branch-instructions'
# Event count (approx.): 4978103875
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                              
# ........  .......  ..........................  ....................................................................................................................................................................................................................................................................
#
     0.07%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027200
     0.07%  test     [kernel.kallsyms]             [k] percpu_counter_add_batch
     0.06%  test     [kernel.kallsyms]             [k] __filemap_add_folio
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7cd
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7c9
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004bfd5
     0.06%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027222
     0.06%  test     [kernel.kallsyms]             [k] __mod_lruvec_page_state
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c02d
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c017
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c044
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c776
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b3
     0.06%  test     [kernel.kallsyms]             [k] __mod_zone_page_state
     0.06%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.06%  test     [kernel.kallsyms]             [k] __raw_spin_lock_irqsave
     0.06%  test     [kernel.kallsyms]             [k] do_user_addr_fault
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004bfdf
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6b7
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a5
     0.05%  test     [kernel.kallsyms]             [k] folio_batch_move_lru
     0.05%  test     libgomp.so.1.0.0              [.] 0x00000000000207c3
     0.05%  test     [kernel.kallsyms]             [k] mas_walk
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf0f
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee4
     0.05%  test     [kernel.kallsyms]             [k] __next_zones_zonelist
     0.05%  test     [kernel.kallsyms]             [k] exit_to_user_mode_prepare
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d79d
     0.05%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d0
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d797
     0.05%  test     [kernel.kallsyms]             [k] zap_pte_range
     0.05%  test     [nvidia]                      [k] _nv039862rm
     0.04%  test     [kernel.kallsyms]             [k] free_unref_page_prepare
     0.04%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6af
     0.04%  test     [kernel.kallsyms]             [k] __mod_lruvec_state
     0.04%  test     libgomp.so.1.0.0              [.] 0x00000000000207b8
     0.04%  test     [kernel.kallsyms]             [k] page_remove_rmap
     0.04%  test     [kernel.kallsyms]             [k] __rmqueue_pcplist
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027942
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000372f0
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a46
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d78b
     0.04%  test     [kernel.kallsyms]             [k] error_entry
     0.04%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c077
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d790
     0.04%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004be69
     0.04%  test     libm.so.6                     [.] __sqrtf_finite@GLIBC_2.15
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
     0.04%  test     [kernel.kallsyms]             [k] page_counter_try_charge
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d561
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c07f
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271cd
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7e9
     0.03%  test     [kernel.kallsyms]             [k] __irqentry_text_end
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d799
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000007500
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c067
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d53c
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7b4
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d62
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000002792e
     0.03%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c13d
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000000759e
     0.03%  test     [kernel.kallsyms]             [k] post_alloc_hook
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b3
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7d2
     0.03%  test     [kernel.kallsyms]             [k] copyout
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e17
     0.03%  test     [kernel.kallsyms]             [k] free_swap_cache
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d4d0
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271eb
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8ba
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d59c
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d682
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c051
     0.03%  test     libm.so.6                     [.] __atan2f_finite@GLIBC_2.15
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000048cc1
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027244
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7c2
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d550
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d540
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027952
     0.03%  test     test                          [.] decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
     0.02%  test     [kernel.kallsyms]             [k] osq_lock
     0.02%  test     libm.so.6                     [.] __atan2f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c8
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000015613
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000037320
     0.02%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c70d
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf21
     0.02%  test     [kernel.kallsyms]             [k] __folio_alloc
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7db
     0.02%  test     [kernel.kallsyms]             [k] memcg_check_events
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048df7
     0.02%  test     [kernel.kallsyms]             [k] memset_orig
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e72
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c04c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027229
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a67
     0.02%  test     [kernel.kallsyms]             [k] mem_cgroup_css_rstat_flush
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000060e1
     0.02%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.02%  test     [kernel.kallsyms]             [k] exc_page_fault
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d4b5
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006090
     0.02%  test     test                          [.] void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d4ec
     0.02%  test     [kernel.kallsyms]             [k] update_curr
     0.02%  test     [kernel.kallsyms]             [k] entry_SYSCALL_64
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d491
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027937
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000155f6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004be87
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d508
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000000753c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d6e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027860
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c77b
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027265
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007564
     0.02%  test     [kernel.kallsyms]             [k] mem_cgroup_from_task
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027237
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c43d
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000015561
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000060a7
     0.02%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer@plt
     0.02%  test     libtbb.so.12.12               [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::external_waiter>(tbb::detail::d1::task*, tbb::detail::r1::external_waiter&)
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002724c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027241
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006141
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ad
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c143
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7ee
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d617
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002708e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027260
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c06f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d30
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d455
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c16c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007da4
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c0b5
     0.02%  test     libz.so.1.2.11                [.] inflate
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bfe3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e4c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8f
     0.02%  test     libopencv_core.so.4.9.0       [.] icv_k0_ownsCopy_8u_nt
     0.02%  test     [kernel.kallsyms]             [k] _find_first_bit
     0.02%  test     [kernel.kallsyms]             [k] policy_node
     0.02%  test     [kernel.kallsyms]             [k] _raw_spin_unlock
     0.02%  test     test                          [.] std::vector<int, std::allocator<int> >::operator[](unsigned long)
     0.02%  test     [kernel.kallsyms]             [k] free_unref_page_commit
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048cc5
     0.02%  test     libgomp.so.1.0.0              [.] 0x000000000000efb2
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028ba0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000037360
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d57d
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048ec6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004be83
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bec3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000060be
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d698
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271a0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006103
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004be97
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027922
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7e2
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004beff
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ba
     0.02%  test     [kernel.kallsyms]             [k] free_unref_page_list
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d1f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c797
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c01b
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c700
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ec
     0.02%  test     [kernel.kallsyms]             [k] block_invalidate_folio
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c4ce
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c4f2
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c744
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c60b
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d695
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271ab
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c040
     0.02%  test     [kernel.kallsyms]             [k] access_error
     0.02%  test     [kernel.kallsyms]             [k] uncharge_folio
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c5a0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e6a
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.01%  test     [kernel.kallsyms]             [k] native_read_msr_safe
     0.01%  test     libc.so.6                     [.] _IO_fwrite
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c05f
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c3d1
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a50
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d66d
     0.01%  test     libjpeg.so.8.2.2              [.] 0x00000000000277d9
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf0
     0.01%  test     test                          [.] int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
     0.01%  test     [kernel.kallsyms]             [k] __srcu_read_unlock
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bfad
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6cf
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027234
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bebb
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a3f
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7f3
     0.01%  test     libjpeg.so.8.2.2              [.] 0x00000000000270c6
     0.01%  test     [kernel.kallsyms]             [k] xas_store
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000020ea4
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c013
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c449
     0.01%  test     [kernel.kallsyms]             [k] send_to_group
     0.01%  test     [kernel.kallsyms]             [k] __mark_inode_dirty
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c26e
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5bf
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c699
     0.01%  test     [kernel.kallsyms]             [k] asm_sysvec_apic_timer_interrupt
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e3f
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e24
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027157
     0.01%  test     [kernel.kallsyms]             [k] ext4_fill_raw_inode
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d54
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d65b
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d64b
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf4
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d475
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000007515
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000026d4e
     0.01%  test     [kernel.kallsyms]             [k] pud_val
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c3e3
     0.01%  test     test                          [.] std::vector<int, std::allocator<int> >::size() const
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2af
     0.01%  test     libtbb.so.12.12               [.] tbb::detail::r1::rml::private_worker::run()
     0.01%  test     libc.so.6                     [.] cfree@GLIBC_2.2.5
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b97
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bff7
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf87
     0.01%  test     [kernel.kallsyms]             [k] crc32c_pcl_intel_update
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c084
     0.01%  test     [kernel.kallsyms]             [k] native_apic_msr_eoi_write
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027910
     0.01%  test     [kernel.kallsyms]             [k] kthread_blkcg
     0.01%  test     [kernel.kallsyms]             [k] xas_descend
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a4c
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7e0
     0.01%  test     [kernel.kallsyms]             [k] lockref_get_not_zero
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c133
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d68e
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048d11
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c47e
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c75c
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c119
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c812
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d671
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf4d
     0.01%  test     [kernel.kallsyms]             [k] __fget_light
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d44
     0.01%  test     test                          [.] std::sqrt(float)
     0.01%  test     [kernel.kallsyms]             [k] vfs_write
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000002713a
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bff3
     0.01%  test     [kernel.kallsyms]             [k] fsnotify
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a53
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027af9
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c12e
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c0e5
     0.01%  test     [kernel.kallsyms]             [k] pmd_val
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d59
     0.01%  test     [kernel.kallsyms]             [k] ext4_da_map_blocks.constprop.0
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bb1
     0.01%  test     libjpeg.so.8.2.2              [.] 0x00000000000156ae
     0.01%  test     libjpeg.so.8.2.2              [.] 0x00000000000156e3
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bfef
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5de
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7eb
     0.01%  test     [kernel.kallsyms]             [k] policy_nodemask
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c5f4
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6da
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c8
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6d7
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004be93
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c684
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000015564
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bed1
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c00d
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c1a3
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c115
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004be44
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8b
     0.01%  test     [kernel.kallsyms]             [k] inc_mm_counter
     0.01%  test     test                          [.] std::atan2(float, float)
     0.01%  test     libopencv_core.so.4.9.0       [.] icv_k0_ownsCopy_8u_repE9
     0.01%  test     test                          [.] operator new(unsigned long, void*)
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8c2
     0.01%  test     libm.so.6                     [.] __sqrtf
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c0ef
     0.01%  test     [kernel.kallsyms]             [k] syscall_enter_from_user_mode
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048ec1
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bbc5
     0.01%  test     [kernel.kallsyms]             [k] kmem_cache_free
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c5e6
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e43
     0.01%  test     libtbb.so.12.12               [.] tbb::detail::r1::task_dispatcher::steal_or_get_critical(tbb::detail::r1::execution_data_ext&, tbb::detail::r1::arena&, unsigned int, tbb::detail::r1::FastRandom&, long, bool)
     0.01%  test     [kernel.kallsyms]             [k] __tlb_remove_page_size
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e5e
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e62
     0.01%  test     [kernel.kallsyms]             [k] rwsem_spin_on_owner
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5fb
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bfb1
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027912
     0.01%  test     libopencv_imgcodecs.so.4.9.0  [.] cv::JpegEncoder::write(cv::Mat const&, std::vector<int, std::allocator<int> > const&)
     0.01%  test     [kernel.kallsyms]             [k] task_tick_fair
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000006119
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c5b6
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7a9
     0.01%  test     [kernel.kallsyms]             [k] fault_in_readable
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048ed1
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b0
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c15a
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7c0
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d52d
     0.01%  test     [kernel.kallsyms]             [k] mod_objcg_state
     0.01%  test     [kernel.kallsyms]             [k] drop_buffers.constprop.0
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d440
     0.01%  test     [kernel.kallsyms]             [k] jbd2_write_access_granted
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c5ae
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf1c
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000002793e
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027960
     0.01%  test     libjpeg.so.8.2.2              [.] 0x00000000000279fb
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bfcb
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c27a
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000002795b
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000002797f
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf17
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c029
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6a5
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7f8
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6fb
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d47
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7e4
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bfc6
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c78e
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027928
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf07
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048df3
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000027b21
     0.01%  test     [kernel.kallsyms]             [k] copyin
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d544
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004be9b
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c4f6
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c323
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6d7
     0.01%  test     [kernel.kallsyms]             [k] folio_test_hugetlb
     0.01%  test     [kernel.kallsyms]             [k] crypto_shash_update
     0.01%  test     libjpeg.so.8.2.2              [.] 0x00000000000059e8
     0.01%  test     [kernel.kallsyms]             [k] memcg_slab_post_alloc_hook
     0.01%  test     [kernel.kallsyms]             [k] mpage_prepare_extent_to_map
     0.01%  test     [kernel.kallsyms]             [k] free_pcppages_bulk
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e94
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004c73b
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048ed6
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000006135
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf7d
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048da7
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ac
     0.01%  test     [kernel.kallsyms]             [k] __ext4_get_inode_loc
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000004be6f
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000020f9e
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000048ea8
     0.01%  test     [kernel.kallsyms]             [k] __get_vma_policy
