# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'branch-instructions'
# Event count (approx.): 6330547978
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                             
# ........  .......  ............................  ...................................................................................................................................................................................................................................................................................................................
#
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6a5
     0.11%  test     libjpeg.so.8.2.2              [.] 0x00000000000271cd
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000004be51
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.11%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ad
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5de
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6d7
     0.10%  test     [kernel.kallsyms]             [k] uncharge_folio
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000002724c
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6b7
     0.10%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.09%  test     [kernel.kallsyms]             [k] up_read
     0.09%  test     [kernel.kallsyms]             [k] get_page_from_freelist
     0.09%  test     [kernel.kallsyms]             [k] charge_memcg
     0.09%  test     [kernel.kallsyms]             [k] rmqueue_bulk
     0.09%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer@plt
     0.09%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.09%  test     libjpeg.so.8.2.2              [.] 0x0000000000006119
     0.09%  test     [kernel.kallsyms]             [k] lru_add_fn
     0.09%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.09%  test     [kernel.kallsyms]             [k] __mod_node_page_state
     0.09%  test     [kernel.kallsyms]             [k] __next_zones_zonelist
