# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'branch-instructions'
# Event count (approx.): 4354894864
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................
#
     0.18%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5bf
     0.18%  test     libjpeg.so.8.2.2              [.] 0x0000000000027967
     0.18%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.18%  test     [kernel.kallsyms]             [k] get_page_from_freelist
     0.17%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.17%  test     [kernel.kallsyms]             [k] __mod_memcg_lruvec_state
     0.17%  test     [kernel.kallsyms]             [k] get_mem_cgroup_from_mm
     0.17%  test     test                          [.] std::deque<int, std::allocator<int> >::push_back(int const&)
     0.16%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.16%  test     test                          [.] std::deque<int, std::allocator<int> >::front()
     0.16%  test     test                          [.] std::deque<int, std::allocator<int> >::pop_front()
     0.16%  test     test                          [.] SIMD::AVX::A512::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)
     0.16%  test     libjpeg.so.8.2.2              [.] 0x000000000003d59c
     0.16%  test     [kernel.kallsyms]             [k] __mod_node_page_state
     0.16%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.16%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.15%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer@plt
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6b7
     0.15%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.15%  test     libjpeg.so.8.2.2              [.] 0x00000000000271eb
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000002792e
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000003d79d
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.15%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d57d
     0.14%  test     libjpeg.so.8.2.2              [.] 0x00000000000271cd
     0.14%  test     [kernel.kallsyms]             [k] folio_add_lru
     0.14%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5fb
     0.14%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.13%  test     test                          [.] std::queue<int, std::deque<int, std::allocator<int> > >::pop()
     0.13%  test     test                          [.] std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7c2
     0.13%  test     [kernel.kallsyms]             [k] __mod_lruvec_page_state
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000004c715
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5de
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6af
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.12%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000037320
     0.11%  test     [kernel.kallsyms]             [k] __mod_zone_page_state
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000027952
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.11%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000002724c
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d62
     0.10%  test     [kernel.kallsyms]             [k] lock_vma_under_rcu
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004be87
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d53c
     0.10%  test     test                          [.] std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&)
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004be93
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b3
     0.10%  test     [kernel.kallsyms]             [k] mem_cgroup_css_rstat_flush
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000002793e
     0.09%  test     libjpeg.so.8.2.2              [.] 0x0000000000027962
