# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'branch-instructions'
# Event count (approx.): 4500423953
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .......  ............................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.18%  test     libjpeg.so.8.2.2              [.] 0x000000000003d540
     0.18%  test     [kernel.kallsyms]             [k] down_read_trylock
     0.17%  test     [kernel.kallsyms]             [k] lock_vma_under_rcu
     0.17%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d69
     0.17%  test     [kernel.kallsyms]             [k] folio_batch_move_lru
     0.17%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.17%  test     libjpeg.so.8.2.2              [.] 0x000000000004c737
     0.16%  test     libc.so.6                     [.] __memmove_evex_unaligned_erms
     0.16%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.16%  test     [kernel.kallsyms]             [k] folio_add_new_anon_rmap
     0.15%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     0.15%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.15%  test     [kernel.kallsyms]             [k] __next_zones_zonelist
     0.15%  test     libjpeg.so.8.2.2              [.] 0x0000000000037320
     0.15%  test     libjpeg.so.8.2.2              [.] 0x00000000000271eb
     0.15%  test     [kernel.kallsyms]             [k] up_read
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000004be44
     0.15%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c1
     0.14%  test     test                          [.] PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1}::operator()() const
     0.14%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.14%  test     [kernel.kallsyms]             [k] __mod_node_page_state
     0.14%  test     [kernel.kallsyms]             [k] lru_add_fn
     0.14%  test     [kernel.kallsyms]             [k] free_unref_page_commit
     0.14%  test     [kernel.kallsyms]             [k] uncharge_folio
     0.14%  test     [kernel.kallsyms]             [k] get_mem_cgroup_from_mm
     0.13%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8f
     0.13%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.13%  test     [kernel.kallsyms]             [k] __mod_zone_page_state
     0.13%  test     [kernel.kallsyms]             [k] rmqueue_bulk
     0.13%  test     libjpeg.so.8.2.2              [.] 0x00000000000271cd
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7c2
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.12%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.12%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.12%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a9
     0.12%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.11%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer@plt
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a5
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a67
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d62
     0.11%  test     [kernel.kallsyms]             [k] get_page_from_freelist
     0.11%  test     [kernel.kallsyms]             [k] folio_add_lru
     0.11%  test     test                          [.] std::vector<int, std::allocator<int> >::push_back(int const&)
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d78b
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5bf
     0.11%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d6e
     0.10%  test     [kernel.kallsyms]             [k] __mod_lruvec_page_state
     0.10%  test     [kernel.kallsyms]             [k] try_charge_memcg
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6b7
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d544
     0.10%  test     [kernel.kallsyms]             [k] free_unref_page_list
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004be87
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d617
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d53c
     0.09%  test     [kernel.kallsyms]             [k] mem_cgroup_css_rstat_flush
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000002724c
     0.09%  test     libjpeg.so.8.2.2              [.] 0x0000000000027952
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d59c
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6af
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b3
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5fb
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000002792e
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8b
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004be75
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7db
     0.08%  test     libjpeg.so.8.2.2              [.] 0x0000000000006119
     0.08%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d57d
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d79d
     0.08%  test     libjpeg.so.8.2.2              [.] 0x0000000000015561
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5de
     0.08%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c8
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.08%  test     libjpeg.so.8.2.2              [.] 0x0000000000027244
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d62f
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004c711
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7f3
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6a5
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000156ae
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000271a0
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c70d
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a3f
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c715
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d59
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b97
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf4
     0.07%  test     [kernel.kallsyms]             [k] _compound_head
     0.06%  test     [kernel.kallsyms]             [k] __mem_cgroup_charge
     0.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000270d1
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027962
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000002785c
     0.06%  test     [kernel.kallsyms]             [k] sync_regs
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004be83
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000002795b
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027860
     0.06%  test     [kernel.kallsyms]             [k] send_to_group
     0.06%  test     [kernel.kallsyms]             [k] post_alloc_hook
     0.06%  test     [kernel.kallsyms]             [k] ext4_fill_raw_inode
     0.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000271fa
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004be97
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027265
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027241
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf0f
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c812
     0.06%  test     [kernel.kallsyms]             [k] __mod_lruvec_state
     0.06%  test     [kernel.kallsyms]             [k] memcg_slab_post_alloc_hook
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6cf
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004bed1
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8ba
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b3
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d790
     0.05%  test     [kernel.kallsyms]             [k] __irqentry_text_end
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027229
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004beff
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7b
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ad
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b0
     0.05%  test     [kernel.kallsyms]             [k] __folio_start_writeback
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027237
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d54
     0.05%  test     [kernel.kallsyms]             [k] vfs_write
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e3f
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000002793e
     0.05%  test     [kernel.kallsyms]             [k] free_swap_cache
     0.05%  test     [kernel.kallsyms]             [k] pmd_val
     0.05%  test     [kernel.kallsyms]             [k] find_lock_entries
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000271ab
     0.04%  test     [kernel.kallsyms]             [k] __raw_spin_lock_irqsave
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6f6
     0.04%  test     [kernel.kallsyms]             [k] free_pcppages_bulk
     0.04%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6d7
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027234
     0.04%  test     [kernel.kallsyms]             [k] crc32c_pcl_intel_update
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c23a
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004be6f
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ec
     0.04%  test     [kernel.kallsyms]             [k] _find_first_bit
     0.04%  test     test                          [.] decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
     0.04%  test     libm.so.6                     [.] __sqrtf
     0.04%  test     [kernel.kallsyms]             [k] mem_cgroup_from_task
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b82
     0.04%  test     libtbb.so.12.12               [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a5e
     0.04%  test     [kernel.kallsyms]             [k] mpage_prepare_extent_to_map
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000155b7
     0.04%  test     test                          [.] void _mm512_memcpy<unsigned char>(unsigned char*, unsigned char const*, unsigned long)
     0.03%  test     [kernel.kallsyms]             [k] xas_store
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000015617
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7f8
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027260
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d65b
     0.03%  test     libz.so.1.2.11                [.] inflate
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d64b
     0.03%  test     [kernel.kallsyms]             [k] consume_stock
     0.03%  test     [kernel.kallsyms]             [k] ttwu_queue_wakelist
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee0
     0.03%  test     [kernel.kallsyms]             [k] stop_this_handle
     0.03%  test     [kernel.kallsyms]             [k] vm_normal_page
     0.03%  test     [kernel.kallsyms]             [k] error_entry
     0.03%  test     [kernel.kallsyms]             [k] __folio_alloc
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027410
     0.03%  test     test                          [.] operator new(unsigned long, void*)
