Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,764873,2126304,430182,88964,910780,4321103
cube.jpg,1024x1792,4149119,11957327,2778208,555088,5088910,24528652
build.jpg,1312x1920,5398013,15909445,3690809,777640,6564981,32340888
dog.jpg,480x640,675330,2301080,424134,90693,932285,4423522
street.jpg,1920x1280,4917077,14769971,3603915,757222,16462095,40510280
car.jpg,1280x720,1918866,5638551,1102435,232760,1727512,10620124
lake.jpg,1280x848,2400827,6687266,1357523,258144,5090170,15793930
platinum.jpg,2016x2864,12995786,34531048,8501933,1802125,13287092,71117984
cat.jpg,1280x848,2239542,6775975,1336809,258980,4167581,14778887
car2.jpg,2560x1440,8357068,21386967,4966522,1037673,11808965,47557195
female2.jpg,3840x2160,19950552,47196127,11815355,2449444,21557575,102969053
bakery.jpg,3984x2880,31310386,65819524,16600491,3395827,23528237,140654465
earth.jpg,7680x4320,90887066,188464706,48402550,9985144,77217143,414956609
mountain.jpg,1792x1024,3778849,10921634,2462588,496967,6647681,24307719
female.jpg,1920x1072,4287442,12167801,2765731,576883,4065099,23862956
cupoi.jpg,5952x3648,60097292,125887554,31716038,6900193,80125550,304726627
