Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,229445,748319,236479,50488,349706,1614437
cube.jpg,1024x1792,1246677,2434891,2155171,702448,2621081,9160268
build.jpg,1312x1920,1803697,3341139,2350710,471396,4080882,12047824
dog.jpg,480x640,238022,519493,248437,61320,371659,1438931
street.jpg,1920x1280,1681283,3148897,2396554,478697,6138303,13843734
car.jpg,1280x720,650554,1474572,628627,204975,891952,3850680
lake.jpg,1280x848,783003,1483600,885119,118770,3616919,6887411
platinum.jpg,2016x2864,5198778,8081086,7420825,1520368,12563745,34784802
cat.jpg,1280x848,775453,1476050,851048,120477,1710545,4933573
car2.jpg,2560x1440,2516820,4764049,3654209,800639,6132839,17868556
female2.jpg,3840x2160,7536449,11043580,10133993,2051021,12698462,43463505
bakery.jpg,3984x2880,15504887,15440243,14430790,2916499,16647205,64939624
earth.jpg,7680x4320,37122516,45893741,40431818,8296155,47200296,178944526
mountain.jpg,1792x1024,1227739,2380145,1505482,271961,2810636,8195963
female.jpg,1920x1072,1517141,2650068,1727480,296993,2659901,8851583
cupoi.jpg,5952x3648,23711909,29267534,26631480,5450227,38696748,123757898
