Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,511342,1218125,262727,84087,128054,2204335
cube.jpg,1024x1792,3321798,7686199,1504818,473315,729985,13716115
build.jpg,1312x1920,3672177,8814534,2010285,587218,668676,15752890
dog.jpg,480x640,565814,1590942,261624,95585,137486,2651451
street.jpg,1920x1280,4020022,9060673,2165593,612952,960797,16820037
car.jpg,1280x720,1685581,3764659,696871,258022,264000,6669133
lake.jpg,1280x848,1956827,4433038,790563,291972,401099,7873499
platinum.jpg,2016x2864,6808692,16326699,4894769,1344432,1362684,30737276
cat.jpg,1280x848,1624350,3806569,660267,249521,372491,6713198
car2.jpg,2560x1440,5981648,12954171,3524925,1057534,1099244,24617522
female2.jpg,3840x2160,10465557,23380898,7341921,2012304,1772099,44972779
bakery.jpg,3984x2880,17184130,29907319,9716794,2544884,2419907,61773034
earth.jpg,7680x4320,44560093,80852880,28078382,7003603,5546999,166041957
mountain.jpg,1792x1024,3118158,6944046,1343182,473928,650554,12529868
female.jpg,1920x1072,3089317,6926676,1369799,460278,473163,12319233
cupoi.jpg,5952x3648,28420753,53553233,18231815,4563594,4617955,109387350
