Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,1993067,2488013,642077,503001,482258,6108416
cube.jpg,1024x1792,5762244,11290362,2514240,1168979,1297502,22033327
build.jpg,1312x1920,7926703,15119698,3389491,1470393,1263606,29169891
dog.jpg,480x640,2303369,2755016,698843,484695,494784,6736707
street.jpg,1920x1280,7031258,14430698,3343129,1404875,1620286,27830246
car.jpg,1280x720,3975698,5515971,1274990,765703,685064,12217426
lake.jpg,1280x848,4048807,6983271,1395360,768939,874067,14070444
platinum.jpg,2016x2864,14325174,31021991,6624580,2713968,2394044,57079757
cat.jpg,1280x848,4223692,6819100,1455331,803883,915589,14217595
car2.jpg,2560x1440,10186380,18018741,4274029,1860421,1761207,36100778
female2.jpg,3840x2160,18285946,40220420,8681561,3351475,2577189,73116591
bakery.jpg,3984x2880,29381146,58136338,11325781,4656339,3558444,107058048
earth.jpg,7680x4320,83643841,149114709,36046699,12536496,8134789,289476534
mountain.jpg,1792x1024,5643593,10491793,2470309,1128415,1099707,20833817
female.jpg,1920x1072,6560622,11647693,2699683,1285384,966571,23159953
cupoi.jpg,5952x3648,55656368,99811427,20820970,8175898,7185611,191650274
