Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,613370,1716341,394242,87492,171722,2983167
cube.jpg,1024x1792,3391324,8714529,1960625,480653,700486,15247617
build.jpg,1312x1920,4293151,11504763,2725917,619794,571416,19715041
dog.jpg,480x640,552996,1784534,286853,54651,129726,2808760
street.jpg,1920x1280,4224382,10690449,2533291,589553,948435,18986110
car.jpg,1280x720,1625944,4215241,847050,176724,221334,7086293
lake.jpg,1280x848,1941739,4961571,962404,202857,411714,8480285
platinum.jpg,2016x2864,9940277,24758046,5940079,1421814,1633473,43693689
cat.jpg,1280x848,1921419,4972453,971963,203179,398134,8467148
car2.jpg,2560x1440,6441407,15289343,3794124,907594,1122742,27555210
female2.jpg,3840x2160,14448319,33830849,8410729,2015050,1935723,60640670
bakery.jpg,3984x2880,24315077,45228501,11206664,2719800,2896620,86366662
earth.jpg,7680x4320,71716636,127068993,31379312,8029782,7253806,245448529
mountain.jpg,1792x1024,3140375,7893981,1668571,402028,625058,13730013
female.jpg,1920x1072,3549923,8795859,1961114,465712,395636,15168244
cupoi.jpg,5952x3648,47748443,87071320,21905908,5346297,6682549,168754517
