Image Name,Width x Height,Gaussian Time (ns),Gradient Time (ns),Reduce Time (ns),Double Threshold Time (ns),Edge Hysteresis Time (ns),Total Processing Time (ns)
machine.jpg,640x480,2067761,2251045,1399190,1148347,1419435,8285778
cube.jpg,1024x1792,5723315,5517036,2324637,1648830,3744497,18958315
build.jpg,1312x1920,7091027,6981175,2974010,1650668,3975051,22671931
dog.jpg,480x640,2044736,2083958,1119223,934415,1167237,7349569
street.jpg,1920x1280,7300001,7104728,2933331,1633100,7641220,26612380
car.jpg,1280x720,3339387,3279616,1559509,1108842,1609131,10896485
lake.jpg,1280x848,3564989,3696684,1634540,1295545,2565032,12756790
platinum.jpg,2016x2864,15325418,14371985,7149793,2338974,6099331,45285501
cat.jpg,1280x848,3963834,4034483,1803159,1337236,2727571,13866283
car2.jpg,2560x1440,10678939,9394163,4303235,1861041,6102133,32339511
female2.jpg,3840x2160,21471679,19755755,10359704,2840433,10647527,65075098
bakery.jpg,3984x2880,30240991,27406213,13907603,3664986,10199716,85419509
earth.jpg,7680x4320,87806885,81870673,39147521,8382472,31888192,249095743
mountain.jpg,1792x1024,5371938,5054675,2207780,1592659,4068802,18295854
female.jpg,1920x1072,6726131,5597877,2415544,1552981,2742933,19035466
cupoi.jpg,5952x3648,57827865,53294591,25861996,6445720,35057407,178487579
